date,ticker,pnl_pct,hold_days,reason
2024-10-23,EXPE,-3.57,2,stop_hit
2024-10-31,VIX,13.92,6,profit_target
2024-11-04,CEG,-17.45,14,stop_hit
2024-11-06,SBUX,-2.61,14,stop_hit
2024-11-06,VIX,-25.98,2,stop_hit
2024-11-06,DASH,8.26,6,profit_target
2024-11-11,PLTR,8.48,5,profit_target
2024-11-11,TEAM,8.99,5,profit_target
2024-11-15,FTNT,-4.02,4,stop_hit
2024-11-15,PLTR,9.18,4,profit_target
2024-11-18,PLTR,-7.55,3,stop_hit
2024-11-29,SHOP,6.55,14,profit_target
2024-12-05,TSLA,9.08,17,profit_target
2024-12-06,DASH,5.21,30,max_hold_days
2024-12-06,TCOM,6.84,7,profit_target
2024-12-09,TCOM,8.67,3,profit_target
2024-12-10,MRVL,-6.63,4,stop_hit
2024-12-11,TCOM,-4.72,2,stop_hit
2024-12-18,TEAM,-9.59,13,stop_hit
2024-12-18,LULU,-6.3,8,stop_hit
2024-12-24,PLTR,8.29,11,profit_target
2024-12-31,PLTR,-9.86,7,stop_hit
2025-01-07,EXPE,-4.09,15,stop_hit
2025-01-08,TEAM,-5.11,2,stop_hit
2025-01-13,NVDA,-6.49,6,stop_hit
2025-01-17,MRVL,7.6,24,profit_target
2025-01-22,PLTR,7.11,5,profit_target
2025-01-27,TSLA,-8.76,12,stop_hit
2025-01-27,TEAM,7.19,12,profit_target
2025-01-31,PLTR,7.31,9,profit_target
2025-02-03,CRWD,-5.91,6,stop_hit
2025-02-06,PLTR,7.18,2,profit_target
2025-02-13,NFLX,7.39,16,profit_target
2025-02-14,PLTR,7.08,8,profit_target
2025-02-20,TEAM,-2.7,20,max_hold_days
2025-02-21,SHOP,-9.47,8,stop_hit
2025-02-24,TSLA,-8.33,5,stop_hit
2025-03-25,NFLX,8.64,11,profit_target
2025-03-27,AVGO,-11.57,10,stop_hit
2025-03-31,OKTA,-8.3,17,stop_hit
2025-03-31,ALNY,-6.86,6,stop_hit
2025-03-31,BMRN,-3.38,4,stop_hit
2025-04-10,AVGO,-9.62,1,stop_hit
2025-04-21,DASH,-9.24,12,stop_hit
2025-04-21,OKTA,-9.02,11,stop_hit
2025-04-23,PLTR,9.58,14,profit_target
2025-04-29,OKTA,10.83,5,profit_target
2025-04-30,SMCI,-11.5,1,stop_hit
2025-05-08,OKTA,7.66,8,profit_target
2025-05-13,PLTR,8.14,1,profit_target
2025-05-20,FER,6.0,20,max_hold_days
2025-05-28,TTWO,1.28,20,max_hold_days
2025-06-02,MELI,3.11,20,max_hold_days
2025-06-02,PLTR,6.69,5,profit_target
2025-06-09,MNST,0.02,20,max_hold_days
2025-06-23,INTU,-0.32,21,max_hold_days
